Rank	Name	Computer	Site	Manufacturer	Country	Total Cores	Rmax [TFlop/s]	Rpeak [TFlop/s]	Nmax	Processor	Operating System	OS Family	Accelerator/Co-Processor	Cores per Socket	Processor Generation	Continent
96	Roxy	Apollo 2000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR	Government	HPE	United States	174,720	8,124.48	13,977.60	4,744,704	Xeon Gold 6248 20C 2.5GHz	CentOS Linux 7	Linux	None	20	Xeon Gold 62xx (Cascade Lake)	North America
97	HoreKa-Green	ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband	Karlsruher Institut für Technologie (KIT) 	Lenovo	Germany	90,932	8,025.60	15,006.79	1,915,200	Xeon Platinum 8368 38C 2.4GHz	Linux	Linux	NVIDIA Tesla A100 40G	38	Xeon Platinum 83xx (Ice Lake)	Europe
98	Narwhal	HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10	Navy DSRC	HPE	United States	276,480	8,023.60	11,501.57	7,705,360	AMD EPYC 7H12 64C 2.6GHz	SLES15 SP2	Linux	None	64	AMD Zen-2 (Rome)	North America
99	42	Apollo 6500, AMD EPYC 7313 16C 3GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR	Hessian.AI	HPE	Germany	64,512	7,938.00	8,829.50	2,211,840	AMD EPYC 7313 16C 3GHz	RHEL 8.7	Linux	NVIDIA A100 SXM4 80 GB	16	AMD Zen-3 (Milan)	Europe
100	Plasma Simulator	SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200	National Institute for Fusion Science (NIFS)	NEC	Japan	34,560	7,892.70	10,510.66	5,047,920	Vector Engine Type10AE 8C 1.58GHz	VEOS	Linux	None	8	Vector Engine	Asia
101	Leonardo-CPU	EVIDEN BullSequana XH2000, Xeon Platinum 8480L 56C 2GHz, InfiniBand HDR 100	EuroHPC/CINECA	EVIDEN	Italy	172,032	7,841.57	9,433.09	8,754,048	Xeon Platinum 8480L 56C 2GHz	RedHat Enterprise Linux	Linux	None	56	Xeon Platinum (Sapphire Rapids)	Europe
102	Underhill	ThinkSystem SD650 V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR	Shared Services Canada	Lenovo	Canada	148,320	7,764.57	10,916.35	3,745,152	Xeon Platinum 8380 40C 2.3GHz	Linux	Linux	None	40	Xeon Platinum 83xx (Ice Lake)	North America
103	Robert	ThinkSystem SD650-N V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR	Shared Services Canada	Lenovo	Canada	148,320	7,764.57	10,916.35	3,745,152	Xeon Platinum 8380 40C 2.3GHz	Linux	Linux	None	40	Xeon Platinum 83xx (Ice Lake)	North America
104	Belenos	Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100	Meteo France	EVIDEN	France	294,912	7,683.36	10,469.38	6,843,840	AMD EPYC 7742 64C 2.25GHz	bullx SCS	Linux	None	64	AMD Zen-2 (Rome)	Europe
105	alpha ONE	Apollo 6500, AMD EPYC 7F52 16C 3.5GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband	Aleph Alpha	HPE	Germany	57,344	7,625.00	7,864.83	1,990,656	AMD EPYC 7F52 16C 3.5GHz	RHEL 8.5	Linux	NVIDIA A100 SXM4 80 GB	16	AMD Zen-2 (Rome)	Europe
106	PupMaya	Apollo 2000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR	Government	HPE	United States	169,920	7,483.73	12,902.40	4,748,928	Xeon Gold 6148 20C 2.4GHz	CentOS Linux 7	Linux	None	20	Xeon Gold (Skylake)	North America
107	Artemis	NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Infiniband EDR, NVIDIA Tesla V100	Group 42	Nvidia	United Arab Emirates	107,568	7,257.00	9,492.16	2,304,000	Xeon Platinum 8168 24C 2.7GHz	Ubuntu	Linux	NVIDIA Tesla V100	24	Xeon Platinum (Skylake)	Asia
108	LLNL CTS-2 Dane	DELL PowerEdge C6620, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path	Lawrence Livermore National Laboratory	DELL EMC	United States	123,648	7,041.00	7,913.00	5,087,232	Xeon Platinum 8480+ 56C 2GHz	Linux/TOSS	Linux	None	56	Xeon Platinum (Sapphire Rapids)	North America
109		Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect 	United Kingdom Meteorological Office	HPE	United Kingdom	241,920	7,038.93	8,128.51	6,705,408	Xeon E5-2695v4 18C 2.1GHz	Cray Linux Environment 	Linux	None	18	Intel Xeon E5 (Broadwell)	Europe
110	JOLIOT-CURIE ROME	Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100	CEA/TGCC-GENCI	EVIDEN	France	197,120	6,988.04	12,039.37	6,792,576	AMD Rome 7H12 64C 2.6GHz	bullx SCS	Linux	None	64	AMD Zen-2 (Rome)	Europe
111	Gaia	PowerEdge XE8545, AMD EPYC 74F3 24C 3.2GHz, NVIDIA A100, Infiniband	Petróleo Brasileiro S.A	DELL EMC	Brazil	84,480	6,968.00	13,728.00	2,457,600	AMD EPYC 74F3 24C 3.2GHz	RHEL 7.8	Linux	NVIDIA A100	24	AMD Zen-3 (Milan)	South America
112	Theta	Cray XC40, Intel Xeon Phi 7230 64C 1.3GHz, Aries interconnect 	DOE/SC/Argonne National Laboratory	HPE	United States	280,320	6,920.90	11,661.31	7,680,000	Intel Xeon Phi 7230 64C 1.3GHz	Cray Linux Environment 	Linux	None	64	Intel Xeon Phi	North America
113	Karolina, GPU partition	Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200	IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava	HPE	Czechia	71,424	6,752.00	9,080.18	1,710,720	AMD EPYC 7763 64C 2.45GHz	CentOS	Linux	NVIDIA A100 SXM4 40 GB	64	AMD Zen-3 (Milan)	Europe
114	Camphor 3	DELL PowerEdge C6620, Xeon CPU Max 9480 56C 1.9GHz, Infiniband NDR	Academic Center for Computing and Media Studies (ACCMS),  Kyoto University	NEC / DELL	Japan	125,440	6,708.13	7,626.75	3,841,920	Xeon CPU Max 9480 56C 1.9GHz	Red Hat Enterprise Linux	Linux	None	56	Intel Xeon Max	Asia
115	HPCF-AD	EVIDEN BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, Infiniband HDR200	ECMWF	EVIDEN	Italy	245,760	6,671.94	8,847.36	5,981,760	AMD EPYC 7742 64C 2.25GHz	Linux	Linux	None	64	AMD Zen-2 (Rome)	Europe
116	HPCF-AC	EVIDEN BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, Infiniband HDR200	ECMWF	EVIDEN	Italy	245,760	6,671.94	8,847.36	5,981,760	AMD EPYC 7742 64C 2.25GHz	Linux	Linux	None	64	AMD Zen-2 (Rome)	Europe
117	HPCF-AB	EVIDEN BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, Infiniband HDR200	ECMWF	EVIDEN	Italy	245,760	6,671.94	8,847.36	5,981,760	AMD EPYC 7742 64C 2.25GHz	Linux	Linux	None	64	AMD Zen-2 (Rome)	Europe
118	HPCF-AA	EVIDEN BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, Infiniband HDR200	ECMWF	EVIDEN	Italy	245,760	6,671.94	8,847.36	5,981,760	AMD EPYC 7742 64C 2.25GHz	Linux	Linux	None	64	AMD Zen-2 (Rome)	Europe
119	Christofari	NVIDIA DGX-2, Xeon Platinum 8168 24C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100	SberCloud	Nvidia	Russia	99,600	6,669.00	8,789.76	2,208,000	Xeon Platinum 8168 24C 2.7GHz	Ubuntu 18.04.01	Linux	NVIDIA Tesla V100	24	Xeon Platinum (Skylake)	Europe
120	Flow	PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D	Information Technology Center, Nagoya University	Fujitsu	Japan	110,592	6,617.80	7,785.68	2,621,440	A64FX 48C 2.2GHz	Red Hat Enterprise Linux	Linux	None	48	Fujitsu A64FX	Asia
121	MareNostrum	Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path	Barcelona Supercomputing Center	Lenovo	Spain	153,216	6,470.80	10,296.12	5,990,400	Xeon Platinum 8160  24C 2.1GHz	SUSE Linux	Linux	None	24	Xeon Platinum (Skylake)	Europe
122	SPR-HBM	Lenovo ThinkSystem SD650 V3, Xeon CPU Max 9480 56C 1.9GHz, Infiniband NDR	BP	Lenovo	United States	119,952	6,463.85	7,293.08	6,686,592	Xeon CPU Max 9480 56C 1.9GHz	Linux	Linux	None	56	Intel Xeon Max	North America
123		SX-Aurora TSUBASA C401-8, Vector Engine Type30A 16C 1.6GHz, InfiniBand NDR 200	Deutscher Wetterdienst	NEC	Germany	36,864	6,434.00	8,408.45	4,307,460	Vector Engine Type10AE 8C 1.58GHz	VEOS	Linux	None	8	Vector Engine	Europe
124	ONYX	Cray XC40, Xeon E5-2699v4  22C 2.2GHz, Aries interconnect 	ERDC DSRC	HPE	United States	211,816	6,316.03	7,455.92	7,001,472	Xeon E5-2699v4  22C 2.2GHz	Cray Linux Environment 	Linux	None	22	Intel Xeon E5 (Broadwell)	North America
125	LUMI-C	HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-10	EuroHPC/CSC	HPE	Finland	194,560	6,299.79	7,626.75	6,201,599	AMD EPYC 7763 64C 2.45GHz	HPE Cray OS	Linux	None	64	AMD Zen-3 (Milan)	Europe
